"index","Type","subcategory"
1,"EMS","BACK PAINS/INJURY"
2,"EMS","DIABETIC EMERGENCY"
3,"Fire","GAS-ODOR/LEAK"
4,"EMS","CARDIAC EMERGENCY"
5,"EMS","HEAD INJURY"
6,"EMS","NAUSEA/VOMITING"
7,"EMS","RESPIRATORY EMERGENCY"
8,"EMS","SYNCOPAL EPISODE"
9,"Traffic","VEHICLE ACCIDENT -"
10,"Traffic","VEHICLE ACCIDENT -"
11,"Traffic","VEHICLE ACCIDENT -"
12,"Traffic","VEHICLE ACCIDENT -"
13,"Traffic","VEHICLE ACCIDENT -"
14,"EMS","RESPIRATORY EMERGENCY"
15,"EMS","DIZZINESS"
16,"EMS","VEHICLE ACCIDENT"
17,"Traffic","DISABLED VEHICLE -"
18,"Traffic","VEHICLE ACCIDENT -"
19,"Traffic","DISABLED VEHICLE -"
20,"Fire","APPLIANCE FIRE"
21,"EMS","GENERAL WEAKNESS"
22,"EMS","HEAD INJURY"
23,"Fire","CARBON MONOXIDE DETECTOR"
24,"Traffic","DISABLED VEHICLE -"
25,"EMS","RESPIRATORY EMERGENCY"
26,"EMS","UNKNOWN MEDICAL EMERGENCY"
27,"Traffic","DISABLED VEHICLE -"
28,"Traffic","VEHICLE ACCIDENT -"
29,"Traffic","DISABLED VEHICLE -"
30,"Traffic","VEHICLE ACCIDENT -"
31,"Traffic","VEHICLE ACCIDENT -"
32,"Fire","GAS-ODOR/LEAK"
33,"EMS","UNRESPONSIVE SUBJECT"
34,"Traffic","VEHICLE ACCIDENT -"
35,"Traffic","VEHICLE ACCIDENT -"
36,"EMS","VEHICLE ACCIDENT"
37,"Fire","VEHICLE ACCIDENT"
38,"Traffic","VEHICLE ACCIDENT -"
39,"Traffic","VEHICLE ACCIDENT -"
40,"Traffic","VEHICLE ACCIDENT -"
41,"EMS","CVA/STROKE"
42,"Fire","FIRE ALARM"
43,"Traffic","ROAD OBSTRUCTION -"
44,"EMS","CVA/STROKE"
45,"EMS","SUBJECT IN PAIN"
46,"EMS","SUBJECT IN PAIN"
47,"Traffic","DISABLED VEHICLE -"
48,"Traffic","DISABLED VEHICLE -"
49,"Traffic","VEHICLE ACCIDENT -"
50,"EMS","HEMORRHAGING"
51,"EMS","UNKNOWN MEDICAL EMERGENCY"
